substitutions,,,,,,
substitution_id,match_id,team_id,player_out_id,player_in_id,minute,reason
1,1,1,1,5,55,Tactical
2,1,1,2,6,62,Tactical
3,1,1,3,7,69,Fitness
4,1,1,4,8,76,Tactical
5,1,2,9,13,58,Tactical
6,1,2,10,14,65,Tactical
7,1,2,11,15,72,Fitness
8,1,2,12,16,79,Tactical
9,2,3,17,21,55,Tactical
10,2,3,18,22,62,Tactical
11,2,3,19,23,69,Fitness
12,2,3,20,24,76,Tactical
13,2,1,1,5,58,Tactical
14,2,1,2,6,65,Tactical
15,2,1,3,7,72,Fitness
16,2,1,4,8,79,Tactical
17,3,1,1,5,55,Tactical
18,3,1,2,6,62,Tactical
19,3,1,3,7,69,Fitness
20,3,1,4,8,76,Tactical
21,3,4,25,29,58,Tactical
22,3,4,26,30,65,Tactical
23,3,4,27,31,72,Fitness
24,3,4,28,32,79,Tactical
25,4,5,33,37,55,Tactical
26,4,5,34,38,62,Tactical
27,4,5,35,39,69,Fitness
28,4,5,36,40,76,Tactical
29,4,1,1,5,58,Tactical
30,4,1,2,6,65,Tactical
31,4,1,3,7,72,Fitness
32,4,1,4,8,79,Tactical
33,5,1,1,5,55,Tactical
34,5,1,2,6,62,Tactical
35,5,1,3,7,69,Fitness
36,5,1,4,8,76,Tactical
37,5,6,41,45,58,Tactical
38,5,6,42,46,65,Tactical
39,5,6,43,47,72,Fitness
40,5,6,44,48,79,Tactical
